"Establishment Name","Establishment Address","District Name","Name Of Owner","Location Of Establishment","Whether the Name and Address of the Establishment is Same as in the Frame","If no in item 1.5 the new Name of the Establishment (if any)","If no in item 1.5 Address of the Establishment (if any)","Sample Serial Number","NIC Code 2008 As Per Frame","Description Of Economic Activity","Description of goods produced/traded or services provided","NIC code 2008 at the time of visit","Person Name","Person Designation","Person Email","Person Phone/Mobile",Landline,"Whether the establishment is","Main Office Address","Usual Nature Of Operation","Current Operational Status","Ownership code","Registration Information: whether registered or not","Shops and Commercial Establishments Act","Companies Act 1956","Central Excise/Sales Tax Act","Factories Act 1948","Societies Registration Act","Co-operative Societies Act ","Directorate Of Industries","KVIC/KVIB/DC : Handloom/Handicrafts","Act related to Building & Construction","Registered with other agencies Specify",Specify,"Year Since Operational under current ownership","No. of Shifts in Operation","Do you maintain any record of employment in your unit?","Total Employment (As on 1st day of the respective quarter)","Self Employed Fulltime Male","Self Employed Fulltime Female ","Self Employed Part Time Male","Self Employed Part Time Female","Self Employed Total Male","Self Employed Total Female","Employee Regular Full Time Male","Employee Regular Full Time Female","Employee Regular Part Time Male","Employee Regular Part Time Female","Employee Regular Total Male","Employee Regular Total Female","Employee Contract Full Time Male","Employee Contract Full Time Female","Employee Contract Part Time Male","Employee Contract Part Time Female","Employee Contract Total Male","Employee Contract Full Total Female","Fixed Term Employment Full Time Male","Fixed Term Employment Full Time Female","Fixed Term Employment Part Time Male","Fixed Term Employment Part Time Female","Fixed Term Employment Total Male","Fixed Term Employment Total Female","Casual Full Time Male","Casual Full Time Female","Casual Part Time Male","Casual Part Time Female","Casual Total Male","Casual Total Female","Total Full Time Male","Total Full Time Female","Total Part Time Male","Total Part Time Female","Total Male","Total Female","Does any worker(s) from your unit undergo a Formal Skill Development Programme?","The place of the Skill Development Training ","If code 1 in 4.1 is establishment is conducting formal skill development","Is any On the Job Training (OJT) conducted in your unit?","Is your enterprise registered under MSME Act","If yes in item 6.1 whether it is registered with Udyam portal","If yes in item 6.1 The amount of current investment in Plant & Machinery or equipment (in Rs. crores)","If yes in item 6.1 The value of annual turnover of the unit (in Rs. crores)","Number of Current Vacancies (as on 1st day of current quarter)","Number of Vacancies due to: Resignation","Number of Vacancies due to: Retirement","Number of Vacancies due to: Others(please specify)","Reasons for Vacancies","7.2) Number of Vacancies not filled up due to","Number of Vacancies in the process of being filled up","Number of Vacancies due to Non-availability of the Requisite Skilled Workers","Not felt need now","Others (please specify)","Reasons for Vacancies","Number of posts created during the preceding Quarter","Number of persons recruited during the preceding Quarter","Number of posts withdrawn/lapsed during the preceding Quarter","Number of persons retrenched during the preceding Quarter","Self Employed Total Matric/Secondary or below","Self Employed Above Matric/Secondary but Under Graduate","Self Employed Graduate or above","Self Employed Not known","Self Employed Total","Regular Total Matric/Secondary or below","Regular Above Matric/Secondary but Under Graduate","Regular Graduate or above","Regular Not known","Regular Total","Contract Total Matric/Secondary or below","Contract Above Matric/Secondary but Under Graduate","Contract Graduate or above","Contract Not known","Contract Total","Fixed Total Matric/Secondary or below","Fixed Above Matric/Secondary but Under Graduate","Fixed Graduate or above","Fixed Not known","Fixed Total","Casual Total Matric/Secondary or below","Casual Above Matric/Secondary but Under Graduate","Casual Graduate or above","Casual Not known","Casual Total","Total Matric/Secondary or below","Total Above Matric/Secondary but Under Graduate","Total Graduate or above","Total Not known",Total,"Total Employment Clinical + Non Clinical (to be copied from III B)",Clinical,Medical,Nursing,Paramedical,"Non Clinical","Self Employed: Matric/Secondary or below","Self Employed: Above Matric/ Secondary but Under Graduate","Self Employed: Graduate or above","Self Employed: Not known","Self Employed: Total","Regular(not on contract): Matric/Secondary or below","Regular(not on contract): Above Matric/ Secondary but Under Graduate","Regular(not on contract): Graduate or above","Regular(not on contract): Not known","Regular(not on contract): Total","Contract: Matric/Secondary or below","Contract: Above Matric/ Secondary but Under Graduate","Contract: Graduate or above","Contract: Not known","Contract: Total","Fixed Term Employment: Matric/Secondary or below","Fixed Term Employment: Above Matric/ Secondary but Under Graduate","Fixed Term Employment: Graduate or above","Fixed Term Employment: Not known","Fixed Term Employment: Total","Casual: Matric/Secondary or below","Casual: Above Matric/ Secondary but Under Graduate","Casual: Graduate or above","Casual: Not known","Casual: Total","Total (Non-Clinical): Matric/Secondary or below","Total (Non-Clinical): Above Matric/ Secondary but Under Graduate","Total (Non-Clinical): Graduate or above","Total (Non-Clinical): Not known","Total (Non-Clinical): Total","Total Employment Teaching+Non-Teaching",Teaching,Non-Teaching,Librarian,"Lab Technician","Self Employed","Self Employed: Graduates or Above","Self Employed: Matric/Secondary or below","Self Employed: Above Matric/ Secondary but Under Graduate","Self Employed: Not known","Regular(not on contract)","Regular(not on contract): Graduates or Above","Regular(not on contract): Matric/Secondary or below","Regular(not on contract): Above Matric/ Secondary but Under Graduate","Regular(not on contract): Not known",Contract,"Contract: Graduates or Above","Contract: Matric/Secondary or below","Contract: Above Matric/ Secondary but Under Graduate","Contract: Not known","Fixed Term Employment","Fixed Term Employment: Graduates or Above","Fixed Term Employment: Matric/Secondary or below","Fixed Term Employment: Above Matric/ Secondary but Under Graduate","Fixed Term Employment: Not known",Casual,"Casual: Graduates or Above","Casual: Matric/Secondary or below","Casual: Above Matric/ Secondary but Under Graduate","Casual: Not known","Total: Non Teaching(Others)","Total(Graduates or Above)","Total: Matric/Secondary or below","Total: Above Matric/ Secondary but Under Graduate","Total: Not known","Operation During Nationwide Lockdown","Employment Before March Male","Employment Before March Female","Employment Before March Total","Employment On July Male","Employment On July Female","Employment On July Total","Employment On April Male","Employment On April Female","Employment On April Total","Full Wages","Reduced Wages","No Wages",Total,"State Insurance Whether Applicable","State Insurance Number Emp Covered","Provident Funds Whether Applicable","Provident Funds Number Emp Covered","Compensation Whether Applicable ","Compensation Number Emp Covered","Maternity Whether Applicable","Maternity Number Emp Covered","Gratuity Whether Applicable","Gratuity Number Emp Covered","Bonus Whether Applicable","Bonus Number Emp Covered","Others Whether Applicable","Others Number Emp Covered","Survey Type","In case of Substitution the reasons thereof",Reason,"Investigator Name","Investigator Code","Date Of Survey",Remarks
"SHREE BANKEY BIHARI EXPORTS LIMITED C-38/2, LAWRENCE ROAD IND AREA DELHI-35",,Punch,"RAMLAL GUPTA","Outside HH with fixed structure- 2",Yes,,,701110009,106,MANUFACTURING,"MFG GRAIN MILL PRODUCT","106 - Manufacture of grain mill products, starches and starch products","RAMLAL GUPTA",partner,BANKEYBEHARI@BANKEYBEHARI.COM,9891242110,01127195866,"Enterprise  by itself-1",,perennial-1,fully-1,"Private Limited Company-5",Yes,Yes,No,Yes,No,No,No,No,No,No,No,,1972,1,Yes,116,4,0,0,0,4,0,60,52,0,0,60,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,52,0,0,64,52,No,,,No,No,No,,,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,4,0,4,88,14,8,2,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,14,12,2,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,64,52,116,64,52,116,64,52,116,104,10,2,116,Yes,84,Yes,84,No,,No,,No,,No,,No,,Original,,,"Lalit Kumar",NA,"05/28/2021 15:05:00",
"AKSHARA STEEL INDIA A-102/5, IIND FLOOR WAZIRPUR INDL. AREA DELHI-35",,Punch,HARISH,"Outside HH with fixed structure- 2",No,"Akshara Steel","A 101/4, Wazirpur Industrial Area, New Delhi-110052, Delhi",701110091,241,"Manufacturer and Wholesaler","manufacturer and wholesaler of Border Donga, Stainless Steel Chalni, Stainless Steel Box etc","241 - Manufacture of basic iron and steel","Harish Bhardwaj",Proprietor,aksharasteel@yahoo.com,9871696682,,"Enterprise  by itself-1",,perennial-1,fully-1,Proprietary-3,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,,2019,2,Yes,60,0,0,0,0,0,0,7,3,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,34,16,0,0,34,16,41,19,0,0,41,19,Yes,"In some other establishment - 2",,No,Yes,Yes,"(less than 1) - 1","(less than 5) - 1",0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,8,0,10,0,0,0,0,0,0,0,0,0,0,12,30,8,0,50,12,32,16,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,45,22,67,42,16,58,41,19,60,10,0,57,67,Yes,10,Yes,10,Yes,10,No,,No,,Yes,10,No,,Original,,,"Lalit Kumar",NA,"08/04/2021 09:10:00",
"NAVBHARAT, C-24, LAWRENCE ROAD, INDL. AREA DELHI-35",,Punch,"ARUN KUMAR ","Outside HH with fixed structure- 2",No,"Nav Bharat Impex","C-24, Lawrence Road Industrial Area, New Delhi-110035, Delhi",701110182,210,"Exporter and manufacturer","Manufacturer and Exporters of Oil and Food grains","106 - Manufacture of grain mill products, starches and starch products","Najesh Vij",Proprietor,,9910030888,01127190586,"Enterprise  by itself-1",,perennial-1,fully-1,Proprietary-3,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,,1985,2,Yes,57,0,0,0,0,0,0,15,0,0,0,15,0,6,5,0,0,6,5,0,0,0,0,0,0,22,9,0,0,22,9,43,14,0,0,43,14,No,,,No,Yes,Yes,"(less than 1) - 1","(less than 5) - 1",0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,1,10,0,11,0,0,0,0,0,20,11,0,0,31,20,12,25,0,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,44,22,66,134,25,159,43,14,57,0,66,0,66,Yes,15,Yes,15,Yes,15,No,,No,,Yes,57,No,,Original,,,"Lalit Kumar",NA,"08/09/2021 10:26:00",
"J.J. FOODS PVT. LTD. B-21, LAWRENCE ROAD INDL. AREA DELHI-110035",,Punch,"JAGHMOHAN KUMAR","Outside HH with fixed structure- 2",Yes,,,701120456,106,manufacture,"manufacture of food product","106 - Manufacture of grain mill products, starches and starch products","JAGHMOHAN KUMAR",OWNER,payal2hathibrandfood@gmail.com,9717108686,09999998430,"Enterprise  by itself-1",,perennial-1,fully-1,"Private Limited Company-5",Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,,1991,2,Yes,20,2,0,0,0,2,0,14,4,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,16,4,No,,,No,No,No,,,0,0,0,0,,0,0,0,0,0,,0,0,00,0,0,0,2,0,2,0,5,13,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,18,0,18,16,0,16,16,4,20,18,0,0,18,Yes,15,Yes,14,No,,No,,No,,No,,No,,Original,,,"Lalit Kumar",NA,"08/09/2021 10:53:00",
"Hindustan Construction company Ltd., Dmrcc 30Project, Netaji Subhash place Metro Station Parking Area, opp. Wazirpur Transport Authority, Ring Road, Pitampura, New Delhi-110034,",,Punch,"Saurav Shrirup","Outside HH with fixed structure- 2",Yes,,,701243005,421,construction,"construction of Road railway and buildibgs","421 - Construction of roads and railways","Saurav Shrirup",OWNER,ashok.basumallick@hccindia.com,9871202032,08800398922,"Enterprise  by itself-1",,perennial-1,fully-1,"Private Limited Company-5",Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,,1973,3,Yes,129,1,0,0,0,1,0,120,8,0,0,120,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,8,0,0,121,8,No,,,Yes,No,No,,,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,20,90,18,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,91,18,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,66,54,120,66,54,120,121,8,129,120,0,0,120,Yes,50,Yes,100,Yes,120,Yes,8,"Not Known",,"Not Known",,"Not Known",,Original,,,"Lalit Kumar",NA,"06/01/2021 15:40:00",
"RATTAN & CO. C-35/1 LAWRENCE ROAD INDL. AREA DELHI-35",,Punch,"VINOD GUPTA","Outside HH with fixed structure- 2",Yes,,,701310526,462,Trading,"Wholesale of agricultural raw materials","462 - Wholesale of agricultural raw materials and live animals","VINOD GUPTA",OWNER,VINODGUPTA2561@GMAIL.COM,9250186681,07303532500,"Enterprise  by itself-1",,perennial-1,fully-1,Partnership-4,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,,1997,2,Yes,125,2,1,0,0,2,1,116,6,0,0,116,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,7,0,0,118,7,No,,,No,No,No,,,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,3,0,3,70,27,25,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,27,28,0,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,120,15,135,115,13,128,118,7,125,12,120,0,132,Yes,100,Yes,115,No,,Yes,7,Yes,12,No,,Yes,122,Original,,,"Lalit Kumar",NA,"05/31/2021 14:31:00",
"RAVI KISHORE ENTERPRISES PVT. LTD. B-12, LAWRENCE ROAD DELHI-35",,Punch,"KISHORE ARORA","Outside HH with fixed structure- 2",No,"RAVI KISHORE ENTERPRISES PRIVATE LIMITED","B-12, LAWRANCE ROAD, KESHAV PURAM INDUSTRIAL AREA DELHI  110035",701510621,562,"Accommodation and Restaurants","HOTEL, RESTAURANT AND CATERING SERVICES","562 - Event catering and other food service activities","KISHORE KUMAR ARORA","Managing Director",rkepvtltd@gmail.com,9717091146,,"Enterprise  by itself-1",,perennial-1,fully-1,"Private Limited Company-5",Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,,2012,2,Yes,27,2,0,0,0,2,0,19,6,0,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,0,0,21,6,No,,,No,No,No,,,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,2,0,2,1,20,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,6,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,25,11,36,0,0,0,21,6,27,0,0,36,36,No,,No,,Yes,27,No,,No,,Yes,27,Yes,27,Original,,,"Lalit Kumar",NA,"08/09/2021 11:59:00",
"B.R ENTERPRISES, A-319,NARELA, IND-AREA,DELHI-110040",,Rajouri,"RAKESH AGARWAL","Outside HH with fixed structure- 2",No,"B.R ENTERPRISES","A- 319, DSIDC Industrial Estate, Narela Industrial Area, Delhi-110040",702110045,241,Manufacturer,"Manufacturer, Exporter and Supplier of Steel Wires and Bars","241 - Manufacture of basic iron and steel","Nikhil Aggrawal",Manager,brsteels.nikhil@gmail.com,9899553383,,"Enterprise  by itself-1",,perennial-1,fully-1,Proprietary-3,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,,1999,2,Yes,21,1,0,0,0,1,0,10,2,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,19,2,0,0,19,2,Yes,"In some other establishment - 2",,Yes,No,No,,,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,2,10,0,12,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,10,11,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,25,7,32,13,2,15,19,2,21,0,12,20,32,No,,No,,No,,No,,No,,No,,No,,Original,,,"Lalit Kumar",NA,"08/09/2021 12:25:00",
"GOURAV PACKAGING IND., A-144, DSIDC NARELA, DELHI-1100 40",,Rajouri,"ANKIT ","Outside HH with fixed structure- 2",No,"Gourav Packaging Industries","Plot No.-144, Block A, DSIDC Narela, Nr. Raja Harish Chander Hospital, Near Vijay Bank, Narela Industrial Area, Delhi-110040",702110167,170,MANUFACTURER,"MANUFACTURE OF CORRUGATED AND PRINTED PACKAGING BOXES","170 - Manufacture of paper and paper products","Gourav Goel","Owner and CEO",gaurav.goel1991@gmail.com,8048372083,,"Enterprise  by itself-1",,perennial-1,fully-1,Proprietary-3,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,,2012,2,Yes,38,1,0,0,0,1,0,10,8,0,0,10,8,8,5,0,0,8,5,0,0,0,0,0,0,4,2,0,0,4,2,23,15,0,0,23,15,No,,,No,Yes,Yes,"(less than 1) - 1","(less than 5) - 1",0,0,00,0,,0,0,00,0,0,,0,0,0,0,0,0,1,0,1,0,3,15,0,18,0,3,10,0,13,0,0,0,0,0,6,0,0,0,6,6,6,26,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,25,19,44,18,12,30,23,15,38,0,18,26,44,Yes,14,Yes,14,Yes,14,No,,No,,Yes,14,No,,Original,,,Niru,NA,"08/09/2021 13:00:00",
"RAMAN PLASTICS,C-614,DSIDC,NARELA DELHI-40",,Rajouri,"RAMESH /raman malhotra","Outside HH with fixed structure- 2",No,"Raman Plastics Industries","Plot No. C 614, DSIDC Industrial Area, Narela, Delhi-110040",702110168,201,"Manufacturer of ldpe granuels, pp granules and hdpe granuels","Manufacturer of ldpe granuels, pp granules and hdpe granuels","201 - Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics","RAMAN MALHOTRA",CEO,,9873140333,,"Enterprise  by itself-1",,perennial-1,fully-1,Partnership-4,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,,2012,2,Yes,12,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,No,,,No,No,No,,,0,0,0,0,,0,0,00,0,0,,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,15,0,15,12,0,12,12,0,12,0,15,0,15,No,,No,,No,,,,No,,No,,No,,Original,,,Niru,NA,"08/04/2021 12:50:00",
